1,"Lionel Messi has never played in the Premier League – but has still managed to embarrass England’s finest on a regular basis during his glittering career.  Despite winning seven Ballons d’Or in his career,",Watch: Lionel Messi humiliating PL ‘Big Six’ opponents with nutmegs,"Watch: Lionel Messi humiliating PL ‘Big Six’ opponents with nutmegs.Lionel Messi has never played in the Premier League – but has still managed to embarrass England’s finest on a regular basis during his glittering career.  Despite winning seven Ballons d’Or in his career,"
2,"Lionel Messi is arguably one of the greatest players to grace the game. His technique, poise, skill and understanding of the game benefitted Barcelona for the longest time and is now proving to be vital for Paris Saint-Germain.",5 players who received most number of assists from Lionel Messi,"5 players who received most number of assists from Lionel Messi.Lionel Messi is arguably one of the greatest players to grace the game. His technique, poise, skill and understanding of the game benefitted Barcelona for the longest time and is now proving to be vital for Paris Saint-Germain."
3,"Lionel Messi, Cristiano Ronaldo and Diego Maradona are just three of the players who are amongst the conversation for the greatest male footballer in history. Everybody has their own two cents to offer on the GOAT debate and seldom does a day go by where at least one corner of social media isn't going back and forth about their selections.","Ronaldo, Messi, Ronaldinho, Zidane: Football's greatest ever male XI as voted for by fans","Ronaldo, Messi, Ronaldinho, Zidane: Football's greatest ever male XI as voted for by fans.Lionel Messi, Cristiano Ronaldo and Diego Maradona are just three of the players who are amongst the conversation for the greatest male footballer in history. Everybody has their own two cents to offer on the GOAT debate and seldom does a day go by where at least one corner of social media isn't going back and forth about their selections."
4,"In keeping with tradition, Lionel Messi is once again nominated in the final three of The Best FIFA Men’s Player awards. FIFA will probably keep nominating him when he retires. Messi is up against Bayern Munich and Poland striker Robert Lewandowski and Liverpool and Egypt superstar Mo Salah.",FIFA’s Best: Messi makes final three with Lewandowski and Salah,"FIFA’s Best: Messi makes final three with Lewandowski and Salah.In keeping with tradition, Lionel Messi is once again nominated in the final three of The Best FIFA Men’s Player awards. FIFA will probably keep nominating him when he retires. Messi is up against Bayern Munich and Poland striker Robert Lewandowski and Liverpool and Egypt superstar Mo Salah."
5,<p>Lionel Messi<br></p>,Lionel Messi,Lionel Messi.<p>Lionel Messi<br></p>
6,Paris Saint-Germain have reportedly been surprised by Lionel Messi's behaviour in his first few months with the club.,PSG 'surprised' by Messi's behaviour,PSG 'surprised' by Messi's behaviour.Paris Saint-Germain have reportedly been surprised by Lionel Messi's behaviour in his first few months with the club.
7,"Lionel Messi was pictured at numerous parties back home in Argentina over Christmas and ultimately contracted a Covid-19 infection, the effects of which could yet rule him out of Sunday’s Ligue 1 clas",How Messi became the latest superstar dragged into PSG's 'player power' row,"How Messi became the latest superstar dragged into PSG's 'player power' row.Lionel Messi was pictured at numerous parties back home in Argentina over Christmas and ultimately contracted a Covid-19 infection, the effects of which could yet rule him out of Sunday’s Ligue 1 clas"
8,Paris Saint-Germain (PSG) will be without Lionel Messi for the Ligue 1 clash against Lyon at the Parc Olympique Lyonnais.,Is Lionel Messi playing for PSG against Lyon tonight?,Is Lionel Messi playing for PSG against Lyon tonight?.Paris Saint-Germain (PSG) will be without Lionel Messi for the Ligue 1 clash against Lyon at the Parc Olympique Lyonnais.
9,"After a scintillating 2021 at Liverpool, Mohamed Salah has made the three-man final shortlist for the highly-coveted Best FIFA Men’s Player of the Year award alongside Lionel Messi and Robert Lewandowski.",Mo Salah Makes Three-Man Shortlist for FIFA Men’s Best Player Award,"Mo Salah Makes Three-Man Shortlist for FIFA Men’s Best Player Award.After a scintillating 2021 at Liverpool, Mohamed Salah has made the three-man final shortlist for the highly-coveted Best FIFA Men’s Player of the Year award alongside Lionel Messi and Robert Lewandowski."
10,"Just released this morning is that FC Bayern’s Robert Lewandowski is a finalist for UEFA’s “The Best” for the second straight year, joined by PSG’s Lionel Messi & Liverpool’s Mo Salah","Robert Lewandowski, Lionel Messi, Mohammad Salah are the finalists for FIFA’s “The Best” award","Robert Lewandowski, Lionel Messi, Mohammad Salah are the finalists for FIFA’s “The Best” award.Just released this morning is that FC Bayern’s Robert Lewandowski is a finalist for UEFA’s “The Best” for the second straight year, joined by PSG’s Lionel Messi & Liverpool’s Mo Salah"
11,Paris St Germain will be without Lionel Messi for their Ligue 1 trip to Lyon as he continues his recovery following a positive COVID-19 test. Messi tested,Messi to miss PSG match against Lyon,Messi to miss PSG match against Lyon.Paris St Germain will be without Lionel Messi for their Ligue 1 trip to Lyon as he continues his recovery following a positive COVID-19 test. Messi tested
12,"Nabil Trabelsi, Gernot Rohr’s assistant has tagged Super Eagles winger, Samuel Chukwueze as Africa’s Lionel Messi. Trabelsi stated this in an interview with Filgoal, where he said that Chukwueze’s possesses the the right quality to take the Super Eagles far in Cameroon.",AFCON 2021: Chukwueze’s Africa’s Lionel Messi –Trabelsi,"AFCON 2021: Chukwueze’s Africa’s Lionel Messi –Trabelsi.Nabil Trabelsi, Gernot Rohr’s assistant has tagged Super Eagles winger, Samuel Chukwueze as Africa’s Lionel Messi. Trabelsi stated this in an interview with Filgoal, where he said that Chukwueze’s possesses the the right quality to take the Super Eagles far in Cameroon."
13,FRANCE Runaway league leader Paris Saint-Germain will be without Lionel Messi and several other players who had the coronavirus for the trip to face Lyon.,"MATCHDAY: PSG without Messi, Klopp back in Liverpool dugout","MATCHDAY: PSG without Messi, Klopp back in Liverpool dugout.FRANCE Runaway league leader Paris Saint-Germain will be without Lionel Messi and several other players who had the coronavirus for the trip to face Lyon."
14,"Robert Lewandowski, Lionel Messi, and Mohamed Salah were named on Friday as the three finalists for the Fifa Best Men's Player award, while Ballon d'Or winner Alexia Putellas was nominated for the women's prize.","Lewandowski, Messi and Salah finalists for Fifa Best award","Lewandowski, Messi and Salah finalists for Fifa Best award.Robert Lewandowski, Lionel Messi, and Mohamed Salah were named on Friday as the three finalists for the Fifa Best Men's Player award, while Ballon d'Or winner Alexia Putellas was nominated for the women's prize."
15,"PSG forward Lionel Messi tests negative for COVID-19, returns to Paris - Seven-times Ballon d'Or winner Lionel Messi missed PSG's 4-0 win away to third-tier club Vannes on Monday in a French Cup round-of-32 match.","PSG forward Lionel Messi tests negative for COVID-19, returns to Paris","PSG forward Lionel Messi tests negative for COVID-19, returns to Paris.PSG forward Lionel Messi tests negative for COVID-19, returns to Paris - Seven-times Ballon d'Or winner Lionel Messi missed PSG's 4-0 win away to third-tier club Vannes on Monday in a French Cup round-of-32 match."
16,"PSG forward Lionel Messi tests negative for COVID-19, returns to Paris - Seven-times Ballon d'Or winner Lionel Messi missed PSG's 4-0 win away to third-tier club Vannes on Monday in a French Cup round-of-32 match.","PSG forward Lionel Messi tests negative for COVID-19, returns to Paris","PSG forward Lionel Messi tests negative for COVID-19, returns to Paris.PSG forward Lionel Messi tests negative for COVID-19, returns to Paris - Seven-times Ballon d'Or winner Lionel Messi missed PSG's 4-0 win away to third-tier club Vannes on Monday in a French Cup round-of-32 match."
17,"Germain’s Argentinian forward Lionel Messi leaves the pitch after chatting with head coach Mauricio Pochettino during the French L1 football match between Paris-Saint Germain (PSG) and Olympique Lyonnais at The Parc des Princes Stadium in Paris on September 19,",Lionel Messi Covid update ahead of PSG’s clash with Lyon,"Lionel Messi Covid update ahead of PSG’s clash with Lyon.Germain’s Argentinian forward Lionel Messi leaves the pitch after chatting with head coach Mauricio Pochettino during the French L1 football match between Paris-Saint Germain (PSG) and Olympique Lyonnais at The Parc des Princes Stadium in Paris on September 19,"
18,Get latest Lionel Messi Paris news updates & stories. Explore Lionel Messi Paris photos and videos on India.com,lionel messi paris,lionel messi paris.Get latest Lionel Messi Paris news updates & stories. Explore Lionel Messi Paris photos and videos on India.com
19,Argentina international Lionel Messi joined PSG from boyhood club Barcelona in August and has scored six goals in 16 games in all competitions for the Parisian side.,Lionel Messi returns to Paris after negative COVID-19 test to join PSG,Lionel Messi returns to Paris after negative COVID-19 test to join PSG.Argentina international Lionel Messi joined PSG from boyhood club Barcelona in August and has scored six goals in 16 games in all competitions for the Parisian side.
20,Messi was among the four PSG players who returned positive results on Sunday. The 34-year-old had been in Argentina at the time of his result.,Lionel Messi returns to Paris after negative Covid test,Lionel Messi returns to Paris after negative Covid test.Messi was among the four PSG players who returned positive results on Sunday. The 34-year-old had been in Argentina at the time of his result.
21,"Lionel Messi has tested negative for COVID-19 and already returned to Paris and will be back in training with the team in the coming days, Paris Saint-Germain confirmed on Wednesday. The seven-time Ballon d'Or winner was contaminated by the virus last week in Argentina,",Messi returns to PSG after negative COVID-19 test,"Messi returns to PSG after negative COVID-19 test.Lionel Messi has tested negative for COVID-19 and already returned to Paris and will be back in training with the team in the coming days, Paris Saint-Germain confirmed on Wednesday. The seven-time Ballon d'Or winner was contaminated by the virus last week in Argentina,"
22,"PARIS - Lionel Messi has tested negative for COVID-19 and already returned to Paris and will be back in training with the team in the coming days, Paris Saint-Germain confirmed on Wednesday. The seven-time Ballon d'Or winner was contaminated by the virus last week in Argentina,","Messi tests negative for COVID-19, already back in Paris","Messi tests negative for COVID-19, already back in Paris.PARIS - Lionel Messi has tested negative for COVID-19 and already returned to Paris and will be back in training with the team in the coming days, Paris Saint-Germain confirmed on Wednesday. The seven-time Ballon d'Or winner was contaminated by the virus last week in Argentina,"
23,Liverpool's Mohamed Salah and Trent Alexander-Arnold have been named in L'Equipe's world team of the year but there was no place for Lionel Messi,Two Liverpool players named in L'Equipe team of year as Lionel Messi overlooked,Two Liverpool players named in L'Equipe team of year as Lionel Messi overlooked.Liverpool's Mohamed Salah and Trent Alexander-Arnold have been named in L'Equipe's world team of the year but there was no place for Lionel Messi
